date,600519,000858,601318,601398,000333,600036,000651,601888,000725,002594,601166,600276,600009,601628,600030,000063,002475,601012,000568,600585,601899,000625,600438,601633,000100,002230,002241,002714,601238,601066
2020-01-02,10.32,10.267,9.629,10.073,9.998,10.247,10.368,9.877,10.131,9.998,9.369,10.589,10.17,10.08,9.858,9.773,9.721,9.865,10.189,9.969,10.32,9.951,10.257,10.139,9.958,9.717,9.569,10.239,10.142,10.07
2020-01-03,10.265,10.56,9.552,10.582,9.551,10.512,9.802,9.956,10.037,10.103,9.409,10.904,10.3,10.246,9.758,9.659,9.438,9.822,10.205,10.099,10.365,9.922,10.613,9.803,9.585,9.848,9.558,10.317,10.26,10.303
2020-01-06,10.172,10.471,9.411,11.119,9.261,10.362,10.059,9.784,10.263,9.999,9.511,10.653,10.43,10.431,10.315,9.864,9.212,9.647,10.355,11.241,10.948,9.99,10.316,9.972,9.226,9.964,9.661,10.487,10.047,10.398
2020-01-07,9.676,10.549,9.645,11.335,9.26,10.468,9.784,9.344,10.256,10.02,9.492,10.211,10.419,10.485,10.265,9.962,9.332,9.577,11.04,11.452,10.553,9.853,10.241,10.216,9.141,9.925,9.346,11.487,10.073,10.794
2020-01-08,9.81,10.861,9.582,11.564,8.936,10.735,9.863,9.28,10.0,10.015,9.586,10.269,9.762,10.635,10.948,9.79,9.468,9.618,11.059,11.383,10.753,9.999,10.223,10.317,9.312,9.871,9.25,11.134,10.23,10.902
2020-01-09,9.751,10.531,9.328,11.189,8.818,10.888,9.709,8.895,9.818,9.989,9.485,10.191,9.565,10.577,10.507,10.116,9.323,9.979,10.991,11.599,11.156,10.21,10.27,9.984,9.155,9.517,8.875,10.593,10.774,10.075
2020-01-10,9.654,10.983,8.875,11.436,9.294,11.022,9.614,9.222,10.154,9.523,9.641,10.386,9.566,10.536,10.244,10.381,9.289,9.91,10.948,11.884,11.375,10.451,10.116,9.764,9.093,9.266,8.93,11.385,10.573,9.908
2020-01-13,9.709,10.815,8.912,11.287,9.216,10.796,9.503,9.459,10.096,9.491,9.354,10.781,9.739,10.805,10.057,10.317,9.284,9.917,10.995,11.771,11.321,10.572,9.951,9.818,9.214,9.568,9.269,11.532,10.128,10.189
2020-01-14,9.783,11.288,8.649,11.196,9.092,10.874,9.536,9.417,9.881,9.407,9.416,10.694,9.782,10.76,9.8,10.47,8.618,10.047,10.901,11.681,11.24,10.952,10.403,10.008,9.228,9.242,9.107,11.203,10.072,9.912
2020-01-15,9.591,12.038,8.226,11.435,9.274,10.605,9.536,9.119,10.155,9.263,9.296,10.33,9.693,10.749,9.775,10.554,9.004,10.198,11.134,11.342,11.568,10.673,11.098,10.458,9.506,9.566,9.175,11.224,10.084,10.332
2020-01-16,9.434,12.549,8.754,11.214,9.333,10.971,9.37,9.599,10.529,8.91,9.522,10.303,10.148,11.243,9.743,10.498,9.226,10.137,11.224,11.935,11.348,11.029,11.289,9.99,9.171,9.891,9.327,10.855,10.608,10.562
2020-01-17,9.351,11.917,8.191,11.095,9.188,11.094,9.135,9.324,10.691,8.392,9.463,10.212,10.147,11.308,9.746,10.655,8.82,10.039,11.088,12.228,11.324,10.963,11.504,10.034,9.709,9.994,9.367,10.827,10.397,10.509
2020-01-20,9.468,12.587,8.664,11.698,8.793,11.101,9.565,8.539,10.907,8.791,9.677,10.649,10.157,11.428,9.321,10.856,8.338,10.215,10.792,12.649,11.277,10.946,11.45,9.714,9.41,9.952,9.705,10.966,10.155,10.34
2020-01-21,9.565,12.29,9.27,11.806,9.123,11.089,8.805,8.422,11.02,8.691,9.645,10.643,10.107,12.021,9.655,10.892,8.678,10.606,10.428,13.092,11.418,11.209,11.684,9.499,9.212,9.407,9.878,11.007,9.949,10.422
2020-01-22,9.335,12.102,9.183,11.267,9.125,11.149,9.001,8.443,10.403,8.809,9.22,10.223,9.858,11.656,9.951,10.946,8.763,10.07,10.287,13.454,11.329,10.841,11.84,8.803,9.11,9.554,9.694,10.76,9.82,10.871
2020-01-23,9.142,11.996,9.073,11.193,8.944,11.057,8.539,8.6,10.935,8.931,9.459,10.303,9.887,11.457,9.779,11.104,8.867,10.483,10.107,13.605,11.158,10.493,12.009,8.659,9.296,9.201,9.44,10.764,10.002,10.523
2020-01-24,9.265,11.494,9.236,10.824,8.555,11.134,8.345,8.786,10.873,8.384,9.417,10.187,9.606,11.347,9.311,11.167,8.669,10.085,9.831,13.133,11.818,10.79,12.188,8.701,9.225,9.21,9.491,10.905,9.643,10.884
2020-01-27,9.531,11.748,9.013,10.914,8.663,11.256,8.11,8.71,10.746,8.594,9.594,9.769,9.42,11.144,9.634,11.513,9.051,10.044,10.269,12.909,11.831,10.607,12.687,8.725,8.77,9.073,9.334,10.701,10.167,10.829
2020-01-28,9.525,11.448,9.06,10.582,8.459,11.042,7.815,9.025,10.918,8.674,9.177,9.432,9.364,11.445,10.15,11.398,8.857,10.124,9.938,13.143,11.779,10.599,12.907,8.771,9.098,9.15,9.552,11.066,10.307,10.622
